# File: ./example_outputs/basins235/Ref_veg_carbon_Mg_per_ha.csv,,,,,,,,,,,
# Author: moirai,,,,,,,,,,,
# Description: ref veg soil and veg carbon density (Mg/ha) for hyde land cells in country X glu X land type,,,,,,,,,,,
# Original source: soil c for sage pot veg; veg c for sage pot veg; reference veg; country raster; new glu raster; hyde land area,,,,,,,,,,,
# ----------,,,,,,,,,,,
iso,glu_code,land_type,land_cover,GCAM_GLU_name,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
chl,215,1506,PolarDesert/Rock/Ice,ArgCstS,clay content (0-30 cms),3,0,0,15,0,5
sdn,151,1401,Desert,LChad,clay content (0-30 cms),4,3,0,10,2,5
sdn,151,1402,Desert,LChad,clay content (0-30 cms),8,3,0,10,2,5
ner,144,1401,Desert,AfrIntN,clay content (0-30 cms),4,4,0,16,1,6
ner,144,1406,Desert,AfrIntN,clay content (0-30 cms),5,4,0,16,1,6
ner,144,1407,Desert,AfrIntN,clay content (0-30 cms),4,4,0,16,1,6
sdn,144,1401,Desert,AfrIntN,clay content (0-30 cms),4,4,0,35,1,6
sdn,144,1402,Desert,AfrIntN,clay content (0-30 cms),10,4,0,35,1,6
ner,151,1401,Desert,LChad,clay content (0-30 cms),5,4,0,46,2,7
ner,151,1402,Desert,LChad,clay content (0-30 cms),13,4,0,46,2,7
ner,151,1405,Desert,LChad,clay content (0-30 cms),7,4,0,46,2,7
ner,151,1406,Desert,LChad,clay content (0-30 cms),3,4,0,46,2,7
ner,151,1407,Desert,LChad,clay content (0-30 cms),6,4,0,46,2,7
usa,27,1001,Grassland/Steppe,FraserR,clay content (0-30 cms),6,4,4,8,4,7
usa,27,1002,Grassland/Steppe,FraserR,clay content (0-30 cms),6,4,4,8,4,7
usa,27,1003,Grassland/Steppe,FraserR,clay content (0-30 cms),6,4,4,8,4,7
usa,27,1006,Grassland/Steppe,FraserR,clay content (0-30 cms),6,4,4,8,4,7
bel,32,701,BorealDeciduousForest/Woodland,RhineR,clay content (0-30 cms),7,6,5,8,5,7
bel,32,702,BorealDeciduousForest/Woodland,RhineR,clay content (0-30 cms),7,6,5,8,5,7
bel,32,705,BorealDeciduousForest/Woodland,RhineR,clay content (0-30 cms),7,6,5,8,5,7
bel,32,707,BorealDeciduousForest/Woodland,RhineR,clay content (0-30 cms),7,6,5,8,5,7
lby,144,1201,OpenShrubland,AfrIntN,clay content (0-30 cms),6,6,0,36,4,7
lby,144,1202,OpenShrubland,AfrIntN,clay content (0-30 cms),19,6,0,36,4,7
rus,13,1201,OpenShrubland,Finland,clay content (0-30 cms),7,7,5,10,5,7
rus,13,1202,OpenShrubland,Finland,clay content (0-30 cms),7,7,5,10,5,7
dza,149,1401,Desert,NigerR,clay content (0-30 cms),7,4,0,36,2,8
dza,149,1402,Desert,NigerR,clay content (0-30 cms),25,4,0,36,2,8
fin,12,701,BorealDeciduousForest/Woodland,Sweden,clay content (0-30 cms),6,5,4,14,4,8
fin,12,702,BorealDeciduousForest/Woodland,Sweden,clay content (0-30 cms),6,5,4,14,4,8
fin,12,703,BorealDeciduousForest/Woodland,Sweden,clay content (0-30 cms),6,5,4,14,4,8
fin,12,705,BorealDeciduousForest/Woodland,Sweden,clay content (0-30 cms),7,5,4,14,4,8
fin,12,706,BorealDeciduousForest/Woodland,Sweden,clay content (0-30 cms),7,5,4,14,4,8
fin,12,707,BorealDeciduousForest/Woodland,Sweden,clay content (0-30 cms),7,5,4,14,4,8
usa,27,601,BorealEvergreenForest/Woodland,FraserR,clay content (0-30 cms),6,5,2,8,3,8
usa,27,602,BorealEvergreenForest/Woodland,FraserR,clay content (0-30 cms),6,5,2,8,3,8
usa,27,603,BorealEvergreenForest/Woodland,FraserR,clay content (0-30 cms),5,5,2,8,3,8
usa,27,606,BorealEvergreenForest/Woodland,FraserR,clay content (0-30 cms),6,5,2,8,3,8
usa,27,607,BorealEvergreenForest/Woodland,FraserR,clay content (0-30 cms),5,5,2,8,3,8
fin,8,601,BorealEvergreenForest/Woodland,ScndnvN,clay content (0-30 cms),6,6,0,17,5,8
fin,8,602,BorealEvergreenForest/Woodland,ScndnvN,clay content (0-30 cms),6,6,0,17,5,8
fin,8,603,BorealEvergreenForest/Woodland,ScndnvN,clay content (0-30 cms),6,6,0,17,5,8
fin,8,605,BorealEvergreenForest/Woodland,ScndnvN,clay content (0-30 cms),6,6,0,17,5,8
fin,8,606,BorealEvergreenForest/Woodland,ScndnvN,clay content (0-30 cms),7,6,0,17,5,8
fin,8,607,BorealEvergreenForest/Woodland,ScndnvN,clay content (0-30 cms),7,6,0,17,5,8
fin,12,601,BorealEvergreenForest/Woodland,Sweden,clay content (0-30 cms),7,6,2,20,4,8
fin,12,602,BorealEvergreenForest/Woodland,Sweden,clay content (0-30 cms),6,6,2,20,4,8
fin,12,603,BorealEvergreenForest/Woodland,Sweden,clay content (0-30 cms),6,6,2,20,4,8
fin,12,604,BorealEvergreenForest/Woodland,Sweden,clay content (0-30 cms),4,6,2,20,4,8
fin,12,605,BorealEvergreenForest/Woodland,Sweden,clay content (0-30 cms),5,6,2,20,4,8
fin,12,606,BorealEvergreenForest/Woodland,Sweden,clay content (0-30 cms),7,6,2,20,4,8
fin,12,607,BorealEvergreenForest/Woodland,Sweden,clay content (0-30 cms),7,6,2,20,4,8
swe,12,701,BorealDeciduousForest/Woodland,Sweden,clay content (0-30 cms),7,6,3,16,4,8
swe,12,702,BorealDeciduousForest/Woodland,Sweden,clay content (0-30 cms),6,6,3,16,4,8
swe,12,703,BorealDeciduousForest/Woodland,Sweden,clay content (0-30 cms),7,6,3,16,4,8
swe,12,704,BorealDeciduousForest/Woodland,Sweden,clay content (0-30 cms),5,6,3,16,4,8
swe,12,705,BorealDeciduousForest/Woodland,Sweden,clay content (0-30 cms),6,6,3,16,4,8
swe,12,706,BorealDeciduousForest/Woodland,Sweden,clay content (0-30 cms),7,6,3,16,4,8
swe,12,707,BorealDeciduousForest/Woodland,Sweden,clay content (0-30 cms),7,6,3,16,4,8
usa,217,1301,Tundra,California,clay content (0-30 cms),7,6,0,20,2,8
usa,217,1302,Tundra,California,clay content (0-30 cms),7,6,0,20,2,8
usa,217,1303,Tundra,California,clay content (0-30 cms),6,6,0,20,2,8
usa,217,1306,Tundra,California,clay content (0-30 cms),6,6,0,20,2,8
usa,217,1307,Tundra,California,clay content (0-30 cms),6,6,0,20,2,8
can,27,1501,PolarDesert/Rock/Ice,FraserR,clay content (0-30 cms),5,7,0,11,0,8
can,27,1502,PolarDesert/Rock/Ice,FraserR,clay content (0-30 cms),7,7,0,11,0,8
can,27,1503,PolarDesert/Rock/Ice,FraserR,clay content (0-30 cms),4,7,0,11,0,8
can,27,1506,PolarDesert/Rock/Ice,FraserR,clay content (0-30 cms),6,7,0,11,0,8
can,27,1507,PolarDesert/Rock/Ice,FraserR,clay content (0-30 cms),8,7,0,11,0,8
can,40,1101,DenseShrubland,StLwrncR,clay content (0-30 cms),7,7,5,9,5,8
can,40,1102,DenseShrubland,StLwrncR,clay content (0-30 cms),7,7,5,9,5,8
can,40,1105,DenseShrubland,StLwrncR,clay content (0-30 cms),7,7,5,9,5,8
can,40,1107,DenseShrubland,StLwrncR,clay content (0-30 cms),7,7,5,9,5,8
fin,13,1201,OpenShrubland,Finland,clay content (0-30 cms),7,7,4,12,4,8
fin,13,1202,OpenShrubland,Finland,clay content (0-30 cms),6,7,4,12,4,8
fin,13,1203,OpenShrubland,Finland,clay content (0-30 cms),6,7,4,12,4,8
fin,13,1206,OpenShrubland,Finland,clay content (0-30 cms),8,7,4,12,4,8
ago,162,101,TropicalEvergreenForest/Woodland,GuineaGulf,veg_c (above ground biomass),6,11,0,149,7,12
ago,162,101,TropicalEvergreenForest/Woodland,GuineaGulf,veg_c (below ground biomass),2,3,0,41,2,3
fin,13,1207,OpenShrubland,Finland,clay content (0-30 cms),8,7,4,12,4,8
ago,162,102,TropicalEvergreenForest/Woodland,GuineaGulf,veg_c (above ground biomass),10,11,0,152,8,12
ago,162,102,TropicalEvergreenForest/Woodland,GuineaGulf,veg_c (below ground biomass),3,3,0,39,2,3
mrt,86,901,Savanna,AfrCstNW,clay content (0-30 cms),6,7,6,9,7,8
ago,162,201,TropicalDeciduousForest/Woodland,GuineaGulf,veg_c (above ground biomass),2,3,0,76,1,4
ago,162,201,TropicalDeciduousForest/Woodland,GuineaGulf,veg_c (below ground biomass),1,2,0,42,0,2
mrt,86,902,Savanna,AfrCstNW,clay content (0-30 cms),6,7,6,9,7,8
ago,162,202,TropicalDeciduousForest/Woodland,GuineaGulf,veg_c (above ground biomass),3,4,0,79,1,4
ago,162,202,TropicalDeciduousForest/Woodland,GuineaGulf,veg_c (below ground biomass),1,2,0,38,0,2
nor,12,1501,PolarDesert/Rock/Ice,Sweden,clay content (0-30 cms),7,7,5,10,5,8
ago,162,901,Savanna,GuineaGulf,veg_c (above ground biomass),3,4,0,98,2,5
ago,162,901,Savanna,GuineaGulf,veg_c (below ground biomass),1,1,0,25,0,1
nor,12,1502,PolarDesert/Rock/Ice,Sweden,clay content (0-30 cms),8,7,5,10,5,8
ago,162,902,Savanna,GuineaGulf,veg_c (above ground biomass),5,4,0,98,2,5
ago,162,902,Savanna,GuineaGulf,veg_c (below ground biomass),1,1,0,24,0,1
nor,12,1503,PolarDesert/Rock/Ice,Sweden,clay content (0-30 cms),8,7,5,10,5,8
nor,12,1506,PolarDesert/Rock/Ice,Sweden,clay content (0-30 cms),8,7,5,10,5,8
nor,12,1507,PolarDesert/Rock/Ice,Sweden,clay content (0-30 cms),8,7,5,10,5,8
can,7,1501,PolarDesert/Rock/Ice,PacArctic,clay content (0-30 cms),4,0,0,17,0,9
can,7,1502,PolarDesert/Rock/Ice,PacArctic,clay content (0-30 cms),5,0,0,17,0,9
can,7,1503,PolarDesert/Rock/Ice,PacArctic,clay content (0-30 cms),8,0,0,17,0,9
can,7,1505,PolarDesert/Rock/Ice,PacArctic,clay content (0-30 cms),8,0,0,17,0,9
can,7,1506,PolarDesert/Rock/Ice,PacArctic,clay content (0-30 cms),3,0,0,17,0,9
can,7,1507,PolarDesert/Rock/Ice,PacArctic,clay content (0-30 cms),3,0,0,17,0,9
ago,182,103,TropicalEvergreenForest/Woodland,AngolaCst,veg_c (above ground biomass),3,4,1,129,1,8
ago,182,103,TropicalEvergreenForest/Woodland,AngolaCst,veg_c (below ground biomass),1,1,0,48,0,3
deu,28,401,TemperateNeedleleafEvergreenForest/Woodland,EmsWeserR,clay content (0-30 cms),9,5,2,35,3,9
ago,182,104,TropicalEvergreenForest/Woodland,AngolaCst,veg_c (above ground biomass),3,4,1,128,1,8
ago,182,104,TropicalEvergreenForest/Woodland,AngolaCst,veg_c (below ground biomass),1,1,0,48,0,3
deu,28,402,TemperateNeedleleafEvergreenForest/Woodland,EmsWeserR,clay content (0-30 cms),7,5,2,35,3,9
deu,28,405,TemperateNeedleleafEvergreenForest/Woodland,EmsWeserR,clay content (0-30 cms),7,5,2,35,3,9
ago,182,106,TropicalEvergreenForest/Woodland,AngolaCst,veg_c (below ground biomass),1,4,1,115,1,7
deu,28,407,TemperateNeedleleafEvergreenForest/Woodland,EmsWeserR,clay content (0-30 cms),13,5,2,35,3,9
ago,182,107,TropicalEvergreenForest/Woodland,AngolaCst,veg_c (above ground biomass),1,4,1,119,1,7
ago,182,107,TropicalEvergreenForest/Woodland,AngolaCst,veg_c (below ground biomass),1,2,0,57,0,4
mli,144,1401,Desert,AfrIntN,clay content (0-30 cms),7,5,0,37,3,9
mli,144,1402,Desert,AfrIntN,clay content (0-30 cms),9,5,0,37,3,9
mli,144,1407,Desert,AfrIntN,clay content (0-30 cms),11,5,0,37,3,9
pol,35,501,TemperateDeciduousForest/Woodland,NemanR,clay content (0-30 cms),7,5,3,12,3,9
pol,35,502,TemperateDeciduousForest/Woodland,NemanR,clay content (0-30 cms),6,5,3,12,3,9
pol,35,505,TemperateDeciduousForest/Woodland,NemanR,clay content (0-30 cms),6,5,3,12,3,9
pol,35,507,TemperateDeciduousForest/Woodland,NemanR,clay content (0-30 cms),6,5,3,12,3,9
dza,151,1401,Desert,LChad,clay content (0-30 cms),7,6,0,38,4,9
dza,151,1402,Desert,LChad,clay content (0-30 cms),4,6,0,38,4,9
dza,151,1403,Desert,LChad,clay content (0-30 cms),14,6,0,38,4,9
dza,151,1406,Desert,LChad,clay content (0-30 cms),11,6,0,38,4,9
dza,151,1407,Desert,LChad,clay content (0-30 cms),8,6,0,38,4,9
lby,144,1401,Desert,AfrIntN,clay content (0-30 cms),7,6,0,42,2,9
lby,144,1402,Desert,AfrIntN,clay content (0-30 cms),10,6,0,42,2,9
lby,144,1403,Desert,AfrIntN,clay content (0-30 cms),9,6,0,42,2,9
lby,144,1406,Desert,AfrIntN,clay content (0-30 cms),11,6,0,42,2,9
lby,144,1407,Desert,AfrIntN,clay content (0-30 cms),9,6,0,42,2,9
nor,8,801,Evergreen/DeciduousMixedForest/Woodland,ScndnvN,clay content (0-30 cms),7,6,0,19,4,9
ago,182,1005,Grassland/Steppe,AngolaCst,veg_c (above ground biomass),2,1,1,91,1,4
ago,182,1005,Grassland/Steppe,AngolaCst,veg_c (below ground biomass),1,0,0,30,0,1
nor,8,802,Evergreen/DeciduousMixedForest/Woodland,ScndnvN,clay content (0-30 cms),7,6,0,19,4,9
ago,182,1006,Grassland/Steppe,AngolaCst,veg_c (above ground biomass),3,1,1,86,1,4
ago,182,1006,Grassland/Steppe,AngolaCst,veg_c (below ground biomass),1,0,0,35,0,2
nor,8,803,Evergreen/DeciduousMixedForest/Woodland,ScndnvN,clay content (0-30 cms),9,6,0,19,4,9
ago,182,1007,Grassland/Steppe,AngolaCst,veg_c (above ground biomass),4,1,0,51,1,2
ago,182,1007,Grassland/Steppe,AngolaCst,veg_c (below ground biomass),5,1,1,70,1,3
nor,8,805,Evergreen/DeciduousMixedForest/Woodland,ScndnvN,clay content (0-30 cms),6,6,0,19,4,9
nor,8,806,Evergreen/DeciduousMixedForest/Woodland,ScndnvN,clay content (0-30 cms),8,6,0,19,4,9
ago,182,1202,OpenShrubland,AngolaCst,veg_c (above ground biomass),2,2,0,36,0,4
ago,182,1202,OpenShrubland,AngolaCst,veg_c (below ground biomass),3,3,0,53,1,6
nor,8,807,Evergreen/DeciduousMixedForest/Woodland,ScndnvN,clay content (0-30 cms),7,6,0,19,4,9
ago,182,1203,OpenShrubland,AngolaCst,veg_c (above ground biomass),2,2,0,34,0,4
ago,182,1203,OpenShrubland,AngolaCst,veg_c (below ground biomass),3,3,0,54,1,6
rus,13,601,BorealEvergreenForest/Woodland,Finland,clay content (0-30 cms),7,6,2,19,5,9
ago,182,1204,OpenShrubland,AngolaCst,veg_c (above ground biomass),1,2,0,35,0,4
ago,182,1204,OpenShrubland,AngolaCst,veg_c (below ground biomass),1,3,0,53,1,6
rus,13,602,BorealEvergreenForest/Woodland,Finland,clay content (0-30 cms),7,6,2,19,5,9
ago,182,1205,OpenShrubland,AngolaCst,veg_c (above ground biomass),3,2,0,31,0,3
ago,182,1205,OpenShrubland,AngolaCst,veg_c (below ground biomass),5,4,0,58,1,6
rus,13,603,BorealEvergreenForest/Woodland,Finland,clay content (0-30 cms),6,6,2,19,5,9
ago,182,1206,OpenShrubland,AngolaCst,veg_c (above ground biomass),3,2,0,31,0,3
ago,182,1206,OpenShrubland,AngolaCst,veg_c (below ground biomass),5,4,0,57,1,6
rus,13,604,BorealEvergreenForest/Woodland,Finland,clay content (0-30 cms),5,6,2,19,5,9
ago,182,1207,OpenShrubland,AngolaCst,veg_c (above ground biomass),2,2,0,33,0,4
ago,182,1207,OpenShrubland,AngolaCst,veg_c (below ground biomass),4,3,0,55,1,6
rus,13,605,BorealEvergreenForest/Woodland,Finland,clay content (0-30 cms),7,6,2,19,5,9
rus,13,606,BorealEvergreenForest/Woodland,Finland,clay content (0-30 cms),6,6,2,19,5,9
rus,13,607,BorealEvergreenForest/Woodland,Finland,clay content (0-30 cms),7,6,2,19,5,9
ago,182,1403,Desert,AngolaCst,veg_c (above ground biomass),1,0,0,30,0,0
swe,8,701,BorealDeciduousForest/Woodland,ScndnvN,clay content (0-30 cms),6,6,3,9,3,9
ago,182,1405,Desert,AngolaCst,veg_c (above ground biomass),1,0,0,25,0,0
swe,8,702,BorealDeciduousForest/Woodland,ScndnvN,clay content (0-30 cms),6,6,3,9,3,9
swe,8,703,BorealDeciduousForest/Woodland,ScndnvN,clay content (0-30 cms),6,6,3,9,3,9
swe,8,705,BorealDeciduousForest/Woodland,ScndnvN,clay content (0-30 cms),6,6,3,9,3,9
swe,8,706,BorealDeciduousForest/Woodland,ScndnvN,clay content (0-30 cms),6,6,3,9,3,9
swe,8,707,BorealDeciduousForest/Woodland,ScndnvN,clay content (0-30 cms),6,6,3,9,3,9
can,229,1401,Desert,UsaPacNW,clay content (0-30 cms),8,7,7,9,7,9
can,229,1402,Desert,UsaPacNW,clay content (0-30 cms),8,7,7,9,7,9
can,229,1406,Desert,UsaPacNW,clay content (0-30 cms),8,7,7,9,7,9
can,229,1407,Desert,UsaPacNW,clay content (0-30 cms),8,7,7,9,7,9
fin,8,701,BorealDeciduousForest/Woodland,ScndnvN,clay content (0-30 cms),6,7,4,12,5,9
fin,8,702,BorealDeciduousForest/Woodland,ScndnvN,clay content (0-30 cms),6,7,4,12,5,9
fin,8,706,BorealDeciduousForest/Woodland,ScndnvN,clay content (0-30 cms),8,7,4,12,5,9
fin,8,707,BorealDeciduousForest/Woodland,ScndnvN,clay content (0-30 cms),6,7,4,12,5,9
fin,8,1001,Grassland/Steppe,ScndnvN,clay content (0-30 cms),7,7,0,17,5,9
fin,8,1002,Grassland/Steppe,ScndnvN,clay content (0-30 cms),6,7,0,17,5,9
fin,8,1003,Grassland/Steppe,ScndnvN,clay content (0-30 cms),10,7,0,17,5,9
fin,8,1005,Grassland/Steppe,ScndnvN,clay content (0-30 cms),5,7,0,17,5,9
fin,8,1006,Grassland/Steppe,ScndnvN,clay content (0-30 cms),8,7,0,17,5,9
fin,8,1007,Grassland/Steppe,ScndnvN,clay content (0-30 cms),7,7,0,17,5,9
ago,188,101,TropicalEvergreenForest/Woodland,ZambeziR,veg_c (above ground biomass),1,1,0,99,1,3
ago,188,101,TropicalEvergreenForest/Woodland,ZambeziR,veg_c (below ground biomass),1,0,0,40,0,1
fin,8,1201,OpenShrubland,ScndnvN,clay content (0-30 cms),7,7,0,13,5,9
fin,8,1202,OpenShrubland,ScndnvN,clay content (0-30 cms),10,7,0,13,5,9
ago,188,201,TropicalDeciduousForest/Woodland,ZambeziR,veg_c (above ground biomass),3,3,1,98,1,4
ago,188,201,TropicalDeciduousForest/Woodland,ZambeziR,veg_c (below ground biomass),1,1,0,42,0,2
fin,8,1203,OpenShrubland,ScndnvN,clay content (0-30 cms),7,7,0,13,5,9
fin,8,1206,OpenShrubland,ScndnvN,clay content (0-30 cms),8,7,0,13,5,9
ago,188,203,TropicalDeciduousForest/Woodland,ZambeziR,veg_c (above ground biomass),2,2,0,76,1,3
ago,188,203,TropicalDeciduousForest/Woodland,ZambeziR,veg_c (below ground biomass),2,2,0,64,1,3
fin,8,1207,OpenShrubland,ScndnvN,clay content (0-30 cms),7,7,0,13,5,9
ago,188,204,TropicalDeciduousForest/Woodland,ZambeziR,veg_c (above ground biomass),2,2,0,73,1,3
ago,188,204,TropicalDeciduousForest/Woodland,ZambeziR,veg_c (below ground biomass),2,2,0,68,1,3
fin,12,1001,Grassland/Steppe,Sweden,clay content (0-30 cms),7,7,2,23,5,9
ago,188,205,TropicalDeciduousForest/Woodland,ZambeziR,veg_c (above ground biomass),2,2,0,75,1,3
ago,188,205,TropicalDeciduousForest/Woodland,ZambeziR,veg_c (below ground biomass),2,2,0,65,1,3
fin,12,1002,Grassland/Steppe,Sweden,clay content (0-30 cms),8,7,2,23,5,9
ago,188,901,Savanna,ZambeziR,veg_c (above ground biomass),1,1,1,91,1,2
fin,12,1003,Grassland/Steppe,Sweden,clay content (0-30 cms),7,7,2,23,5,9
fin,12,1005,Grassland/Steppe,Sweden,clay content (0-30 cms),6,7,2,23,5,9
ago,188,903,Savanna,ZambeziR,veg_c (above ground biomass),1,1,1,76,1,2
ago,188,903,Savanna,ZambeziR,veg_c (below ground biomass),1,1,0,58,0,1
fin,12,1006,Grassland/Steppe,Sweden,clay content (0-30 cms),7,7,2,23,5,9
ago,188,904,Savanna,ZambeziR,veg_c (above ground biomass),1,1,1,70,1,2
ago,188,904,Savanna,ZambeziR,veg_c (below ground biomass),1,1,0,65,1,1
fin,12,1007,Grassland/Steppe,Sweden,clay content (0-30 cms),7,7,2,23,5,9
ago,188,905,Savanna,ZambeziR,veg_c (above ground biomass),1,1,1,72,1,2
ago,188,905,Savanna,ZambeziR,veg_c (below ground biomass),1,1,0,63,1,1
fin,12,1201,OpenShrubland,Sweden,clay content (0-30 cms),7,7,2,14,5,9
ago,188,906,Savanna,ZambeziR,veg_c (above ground biomass),1,1,1,83,1,2
fin,12,1202,OpenShrubland,Sweden,clay content (0-30 cms),8,7,2,14,5,9
ago,188,907,Savanna,ZambeziR,veg_c (above ground biomass),1,1,1,81,1,2
ago,188,907,Savanna,ZambeziR,veg_c (below ground biomass),1,1,0,54,0,1
fin,12,1203,OpenShrubland,Sweden,clay content (0-30 cms),9,7,2,14,5,9
fin,12,1206,OpenShrubland,Sweden,clay content (0-30 cms),7,7,2,14,5,9
fin,12,1207,OpenShrubland,Sweden,clay content (0-30 cms),7,7,2,14,5,9
grl,1,1001,Grassland/Steppe,ArcticIsl,clay content (0-30 cms),8,7,7,9,7,9
isl,11,1401,Desert,Iceland,clay content (0-30 cms),12,7,0,16,4,9
ago,197,101,TropicalEvergreenForest/Woodland,AfrIntS,veg_c (above ground biomass),4,1,1,64,1,3
ago,197,101,TropicalEvergreenForest/Woodland,AfrIntS,veg_c (below ground biomass),1,0,0,26,0,1
isl,11,1402,Desert,Iceland,clay content (0-30 cms),7,7,0,16,4,9
isl,11,1403,Desert,Iceland,clay content (0-30 cms),5,7,0,16,4,9
isl,11,1405,Desert,Iceland,clay content (0-30 cms),8,7,0,16,4,9
isl,11,1407,Desert,Iceland,clay content (0-30 cms),10,7,0,16,4,9
ago,197,901,Savanna,AfrIntS,veg_c (above ground biomass),1,1,0,57,1,2
ago,197,901,Savanna,AfrIntS,veg_c (below ground biomass),1,1,0,41,1,1
nor,12,1001,Grassland/Steppe,Sweden,clay content (0-30 cms),8,7,2,13,5,9
nor,12,1002,Grassland/Steppe,Sweden,clay content (0-30 cms),7,7,2,13,5,9
ago,197,903,Savanna,AfrIntS,veg_c (above ground biomass),1,2,0,60,1,2
ago,197,903,Savanna,AfrIntS,veg_c (below ground biomass),1,1,0,39,1,1
nor,12,1003,Grassland/Steppe,Sweden,clay content (0-30 cms),7,7,2,13,5,9
ago,197,904,Savanna,AfrIntS,veg_c (above ground biomass),1,2,0,61,1,2
ago,197,904,Savanna,AfrIntS,veg_c (below ground biomass),1,1,0,37,1,1
nor,12,1005,Grassland/Steppe,Sweden,clay content (0-30 cms),8,7,2,13,5,9
ago,197,905,Savanna,AfrIntS,veg_c (above ground biomass),1,2,0,60,1,2
ago,197,905,Savanna,AfrIntS,veg_c (below ground biomass),1,1,0,38,1,1
nor,12,1006,Grassland/Steppe,Sweden,clay content (0-30 cms),7,7,2,13,5,9
ago,197,907,Savanna,AfrIntS,veg_c (above ground biomass),2,2,0,62,1,2
ago,197,907,Savanna,AfrIntS,veg_c (below ground biomass),1,1,0,36,1,1
nor,12,1007,Grassland/Steppe,Sweden,clay content (0-30 cms),8,7,2,13,5,9
ago,197,1001,Grassland/Steppe,AfrIntS,veg_c (above ground biomass),2,1,0,63,1,3
ago,197,1001,Grassland/Steppe,AfrIntS,veg_c (below ground biomass),1,1,0,38,0,2
nor,12,1301,Tundra,Sweden,clay content (0-30 cms),7,7,2,12,5,9
nor,12,1302,Tundra,Sweden,clay content (0-30 cms),7,7,2,12,5,9
ago,197,1201,OpenShrubland,AfrIntS,veg_c (above ground biomass),1,1,0,19,0,1
ago,197,1201,OpenShrubland,AfrIntS,veg_c (below ground biomass),1,1,0,25,1,1
nor,12,1303,Tundra,Sweden,clay content (0-30 cms),7,7,2,12,5,9
ago,197,1202,OpenShrubland,AfrIntS,veg_c (above ground biomass),1,1,0,21,0,1
ago,197,1202,OpenShrubland,AfrIntS,veg_c (below ground biomass),1,1,0,23,1,1
nor,12,1305,Tundra,Sweden,clay content (0-30 cms),7,7,2,12,5,9
nor,12,1306,Tundra,Sweden,clay content (0-30 cms),8,7,2,12,5,9
nor,12,1307,Tundra,Sweden,clay content (0-30 cms),7,7,2,12,5,9
swe,8,601,BorealEvergreenForest/Woodland,ScndnvN,clay content (0-30 cms),8,7,4,10,4,9
swe,8,602,BorealEvergreenForest/Woodland,ScndnvN,clay content (0-30 cms),7,7,4,10,4,9
alb,54,501,TemperateDeciduousForest/Woodland,DanubeR,veg_c (above ground biomass),6,6,0,109,3,8
alb,54,501,TemperateDeciduousForest/Woodland,DanubeR,veg_c (below ground biomass),2,2,0,41,1,3
swe,8,603,BorealEvergreenForest/Woodland,ScndnvN,clay content (0-30 cms),7,7,4,10,4,9
alb,54,502,TemperateDeciduousForest/Woodland,DanubeR,veg_c (above ground biomass),6,6,0,109,3,8
alb,54,502,TemperateDeciduousForest/Woodland,DanubeR,veg_c (below ground biomass),2,2,0,41,1,3
swe,8,604,BorealEvergreenForest/Woodland,ScndnvN,clay content (0-30 cms),7,7,4,10,4,9
alb,54,1001,Grassland/Steppe,DanubeR,veg_c (above ground biomass),2,6,1,76,1,6
alb,54,1001,Grassland/Steppe,DanubeR,veg_c (below ground biomass),1,3,0,38,0,3
