# File: ./example_outputs/basins235/Ref_veg_carbon_Mg_per_ha.csv,,,,,,,,,,,
# Author: moirai,,,,,,,,,,,
# Description: ref veg soil and veg carbon density (Mg/ha) for hyde land cells in country X glu X land type,,,,,,,,,,,
# Original source: soil c for sage pot veg; veg c for sage pot veg; reference veg; country raster; new glu raster; hyde land area,,,,,,,,,,,
# ----------,,,,,,,,,,,
iso,glu_code,land_type,land_cover,GCAM_GLU_name,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
grl,1,1501,PolarDesert/Rock/Ice,ArcticIsl,clay content (0-30 cms),1,0,0,44,0,0
grl,1,1502,PolarDesert/Rock/Ice,ArcticIsl,clay content (0-30 cms),9,0,0,44,0,0
grl,1,1503,PolarDesert/Rock/Ice,ArcticIsl,clay content (0-30 cms),6,0,0,44,0,0
grl,1,1505,PolarDesert/Rock/Ice,ArcticIsl,clay content (0-30 cms),10,0,0,44,0,0
grl,1,1506,PolarDesert/Rock/Ice,ArcticIsl,clay content (0-30 cms),2,0,0,44,0,0
grl,1,1507,PolarDesert/Rock/Ice,ArcticIsl,clay content (0-30 cms),2,0,0,44,0,0
tkm,52,1,Unknown,CaspianE,clay content (0-30 cms),3,0,0,30,0,0
afg,52,1101,DenseShrubland,CaspianE,veg_c (below ground biomass),1,0,0,1,0,1
tkm,52,2,Unknown,CaspianE,clay content (0-30 cms),4,0,0,30,0,0
tkm,52,6,Unknown,CaspianE,clay content (0-30 cms),17,0,0,30,0,0
tkm,52,7,Unknown,CaspianE,clay content (0-30 cms),1,0,0,30,0,0
yem,94,1401,Desert,ArabianP,clay content (0-30 cms),1,0,0,27,0,3
yem,94,1402,Desert,ArabianP,clay content (0-30 cms),1,0,0,27,0,3
lby,151,1401,Desert,LChad,clay content (0-30 cms),3,2,0,20,1,4
chl,215,1501,PolarDesert/Rock/Ice,ArgCstS,clay content (0-30 cms),1,0,0,15,0,5
chl,215,1503,PolarDesert/Rock/Ice,ArgCstS,clay content (0-30 cms),1,0,0,15,0,5
