iso,glu_code,land_type,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
ago,182,1203,veg_c (above ground biomass),2,2,0,34,0,4
ago,182,1203,veg_c (below ground biomass),3,3,0,54,1,6
rus,13,601,clay content (0-30 cms),7,6,2,19,5,9
ago,182,1204,veg_c (above ground biomass),1,2,0,35,0,4
ago,182,1204,veg_c (below ground biomass),1,3,0,53,1,6
rus,13,602,clay content (0-30 cms),7,6,2,19,5,9
ago,182,1205,veg_c (above ground biomass),3,2,0,31,0,3
ago,182,1205,veg_c (below ground biomass),5,4,0,58,1,6
rus,13,603,clay content (0-30 cms),6,6,2,19,5,9
ago,182,1206,veg_c (above ground biomass),3,2,0,31,0,3
ago,182,1206,veg_c (below ground biomass),5,4,0,57,1,6
rus,13,604,clay content (0-30 cms),5,6,2,19,5,9
ago,182,1207,veg_c (above ground biomass),2,2,0,33,0,4
ago,182,1207,veg_c (below ground biomass),4,3,0,55,1,6
rus,13,605,clay content (0-30 cms),7,6,2,19,5,9
rus,13,606,clay content (0-30 cms),6,6,2,19,5,9
rus,13,607,clay content (0-30 cms),7,6,2,19,5,9
ago,182,1403,veg_c (above ground biomass),1,0,0,30,0,0
swe,8,701,clay content (0-30 cms),6,6,3,9,3,9
ago,182,1405,veg_c (above ground biomass),1,0,0,25,0,0
swe,8,702,clay content (0-30 cms),6,6,3,9,3,9
swe,8,703,clay content (0-30 cms),6,6,3,9,3,9
swe,8,705,clay content (0-30 cms),6,6,3,9,3,9
swe,8,706,clay content (0-30 cms),6,6,3,9,3,9
swe,8,707,clay content (0-30 cms),6,6,3,9,3,9
can,229,1401,clay content (0-30 cms),8,7,7,9,7,9
can,229,1402,clay content (0-30 cms),8,7,7,9,7,9
can,229,1406,clay content (0-30 cms),8,7,7,9,7,9
can,229,1407,clay content (0-30 cms),8,7,7,9,7,9
fin,8,701,clay content (0-30 cms),6,7,4,12,5,9
fin,8,702,clay content (0-30 cms),6,7,4,12,5,9
fin,8,706,clay content (0-30 cms),8,7,4,12,5,9
fin,8,707,clay content (0-30 cms),6,7,4,12,5,9
fin,8,1001,clay content (0-30 cms),7,7,0,17,5,9
fin,8,1002,clay content (0-30 cms),6,7,0,17,5,9
fin,8,1003,clay content (0-30 cms),10,7,0,17,5,9
fin,8,1005,clay content (0-30 cms),5,7,0,17,5,9
fin,8,1006,clay content (0-30 cms),8,7,0,17,5,9
fin,8,1007,clay content (0-30 cms),7,7,0,17,5,9
ago,188,101,veg_c (above ground biomass),1,1,0,99,1,3
ago,188,101,veg_c (below ground biomass),1,0,0,40,0,1
fin,8,1201,clay content (0-30 cms),7,7,0,13,5,9
fin,8,1202,clay content (0-30 cms),10,7,0,13,5,9
ago,188,201,veg_c (above ground biomass),3,3,1,98,1,4
ago,188,201,veg_c (below ground biomass),1,1,0,42,0,2
fin,8,1203,clay content (0-30 cms),7,7,0,13,5,9
fin,8,1206,clay content (0-30 cms),8,7,0,13,5,9
ago,188,203,veg_c (above ground biomass),2,2,0,76,1,3
ago,188,203,veg_c (below ground biomass),2,2,0,64,1,3
fin,8,1207,clay content (0-30 cms),7,7,0,13,5,9
ago,188,204,veg_c (above ground biomass),2,2,0,73,1,3
ago,188,204,veg_c (below ground biomass),2,2,0,68,1,3
fin,12,1001,clay content (0-30 cms),7,7,2,23,5,9
ago,188,205,veg_c (above ground biomass),2,2,0,75,1,3
ago,188,205,veg_c (below ground biomass),2,2,0,65,1,3
fin,12,1002,clay content (0-30 cms),8,7,2,23,5,9
ago,188,901,veg_c (above ground biomass),1,1,1,91,1,2
fin,12,1003,clay content (0-30 cms),7,7,2,23,5,9
fin,12,1005,clay content (0-30 cms),6,7,2,23,5,9
ago,188,903,veg_c (above ground biomass),1,1,1,76,1,2
ago,188,903,veg_c (below ground biomass),1,1,0,58,0,1
fin,12,1006,clay content (0-30 cms),7,7,2,23,5,9
ago,188,904,veg_c (above ground biomass),1,1,1,70,1,2
ago,188,904,veg_c (below ground biomass),1,1,0,65,1,1
fin,12,1007,clay content (0-30 cms),7,7,2,23,5,9
ago,188,905,veg_c (above ground biomass),1,1,1,72,1,2
ago,188,905,veg_c (below ground biomass),1,1,0,63,1,1
fin,12,1201,clay content (0-30 cms),7,7,2,14,5,9
ago,188,906,veg_c (above ground biomass),1,1,1,83,1,2
fin,12,1202,clay content (0-30 cms),8,7,2,14,5,9
ago,188,907,veg_c (above ground biomass),1,1,1,81,1,2
ago,188,907,veg_c (below ground biomass),1,1,0,54,0,1
fin,12,1203,clay content (0-30 cms),9,7,2,14,5,9
fin,12,1206,clay content (0-30 cms),7,7,2,14,5,9
fin,12,1207,clay content (0-30 cms),7,7,2,14,5,9
grl,1,1001,clay content (0-30 cms),8,7,7,9,7,9
isl,11,1401,clay content (0-30 cms),12,7,0,16,4,9
ago,197,101,veg_c (above ground biomass),4,1,1,64,1,3
ago,197,101,veg_c (below ground biomass),1,0,0,26,0,1
isl,11,1402,clay content (0-30 cms),7,7,0,16,4,9
isl,11,1403,clay content (0-30 cms),5,7,0,16,4,9
isl,11,1405,clay content (0-30 cms),8,7,0,16,4,9
isl,11,1407,clay content (0-30 cms),10,7,0,16,4,9
ago,197,901,veg_c (above ground biomass),1,1,0,57,1,2
ago,197,901,veg_c (below ground biomass),1,1,0,41,1,1
nor,12,1001,clay content (0-30 cms),8,7,2,13,5,9
nor,12,1002,clay content (0-30 cms),7,7,2,13,5,9
ago,197,903,veg_c (above ground biomass),1,2,0,60,1,2
ago,197,903,veg_c (below ground biomass),1,1,0,39,1,1
nor,12,1003,clay content (0-30 cms),7,7,2,13,5,9
ago,197,904,veg_c (above ground biomass),1,2,0,61,1,2
ago,197,904,veg_c (below ground biomass),1,1,0,37,1,1
nor,12,1005,clay content (0-30 cms),8,7,2,13,5,9
ago,197,905,veg_c (above ground biomass),1,2,0,60,1,2
ago,197,905,veg_c (below ground biomass),1,1,0,38,1,1
nor,12,1006,clay content (0-30 cms),7,7,2,13,5,9
ago,197,907,veg_c (above ground biomass),2,2,0,62,1,2
ago,197,907,veg_c (below ground biomass),1,1,0,36,1,1
nor,12,1007,clay content (0-30 cms),8,7,2,13,5,9
ago,197,1001,veg_c (above ground biomass),2,1,0,63,1,3
ago,197,1001,veg_c (below ground biomass),1,1,0,38,0,2
nor,12,1301,clay content (0-30 cms),7,7,2,12,5,9
nor,12,1302,clay content (0-30 cms),7,7,2,12,5,9
ago,197,1201,veg_c (above ground biomass),1,1,0,19,0,1
ago,197,1201,veg_c (below ground biomass),1,1,0,25,1,1
nor,12,1303,clay content (0-30 cms),7,7,2,12,5,9
ago,197,1202,veg_c (above ground biomass),1,1,0,21,0,1
ago,197,1202,veg_c (below ground biomass),1,1,0,23,1,1
nor,12,1305,clay content (0-30 cms),7,7,2,12,5,9
nor,12,1306,clay content (0-30 cms),8,7,2,12,5,9
nor,12,1307,clay content (0-30 cms),7,7,2,12,5,9
swe,8,601,clay content (0-30 cms),8,7,4,10,4,9
swe,8,602,clay content (0-30 cms),7,7,4,10,4,9
alb,54,501,veg_c (above ground biomass),6,6,0,109,3,8
alb,54,501,veg_c (below ground biomass),2,2,0,41,1,3
swe,8,603,clay content (0-30 cms),7,7,4,10,4,9
alb,54,502,veg_c (above ground biomass),6,6,0,109,3,8
alb,54,502,veg_c (below ground biomass),2,2,0,41,1,3
swe,8,604,clay content (0-30 cms),7,7,4,10,4,9
alb,54,1001,veg_c (above ground biomass),2,6,1,76,1,6
alb,54,1001,veg_c (below ground biomass),1,3,0,38,0,3
swe,8,605,clay content (0-30 cms),7,7,4,10,4,9
alb,54,1002,veg_c (above ground biomass),3,6,1,80,1,7
alb,54,1002,veg_c (below ground biomass),1,3,0,34,0,3
swe,8,607,clay content (0-30 cms),7,7,4,10,4,9
alb,54,1003,veg_c (above ground biomass),6,6,1,84,1,7
alb,54,1003,veg_c (below ground biomass),2,2,0,29,0,2
swe,12,601,clay content (0-30 cms),7,7,0,24,5,9
alb,54,1006,veg_c (above ground biomass),6,6,1,84,1,7
alb,54,1006,veg_c (below ground biomass),2,2,0,30,0,2
swe,12,602,clay content (0-30 cms),7,7,0,24,5,9
alb,54,1007,veg_c (above ground biomass),1,5,0,62,0,5
alb,54,1007,veg_c (below ground biomass),1,4,0,52,0,4
swe,12,603,clay content (0-30 cms),7,7,0,24,5,9
swe,12,604,clay content (0-30 cms),8,7,0,24,5,9
swe,12,605,clay content (0-30 cms),8,7,0,24,5,9
swe,12,606,clay content (0-30 cms),7,7,0,24,5,9
swe,12,607,clay content (0-30 cms),7,7,0,24,5,9
swe,12,1201,clay content (0-30 cms),8,7,1,14,5,9
swe,12,1202,clay content (0-30 cms),6,7,1,14,5,9
alb,55,401,veg_c (above ground biomass),4,3,1,114,0,7
alb,55,401,veg_c (below ground biomass),1,1,0,44,0,3
swe,12,1203,clay content (0-30 cms),7,7,1,14,5,9
alb,55,402,veg_c (above ground biomass),4,3,1,114,0,7
alb,55,402,veg_c (below ground biomass),1,1,0,45,0,3
swe,12,1204,clay content (0-30 cms),6,7,1,14,5,9
alb,55,403,veg_c (above ground biomass),3,3,0,108,0,7
alb,55,403,veg_c (below ground biomass),1,1,0,50,0,3
swe,12,1205,clay content (0-30 cms),7,7,1,14,5,9
alb,55,404,veg_c (above ground biomass),2,3,0,103,0,6
alb,55,404,veg_c (below ground biomass),1,2,0,55,0,3
swe,12,1206,clay content (0-30 cms),7,7,1,14,5,9
alb,55,405,veg_c (above ground biomass),4,3,1,116,0,7
alb,55,405,veg_c (below ground biomass),2,1,0,43,0,3
swe,12,1207,clay content (0-30 cms),7,7,1,14,5,9
alb,55,406,veg_c (above ground biomass),1,3,0,92,0,6
alb,55,406,veg_c (below ground biomass),1,2,0,66,0,4
swe,12,1301,clay content (0-30 cms),8,7,0,14,6,9
alb,55,407,veg_c (above ground biomass),5,3,1,118,0,7
alb,55,407,veg_c (below ground biomass),2,1,0,40,0,2
swe,12,1302,clay content (0-30 cms),7,7,0,14,6,9
alb,55,501,veg_c (above ground biomass),3,3,0,106,1,5
alb,55,501,veg_c (below ground biomass),1,1,0,44,0,2
swe,12,1303,clay content (0-30 cms),7,7,0,14,6,9
alb,55,502,veg_c (above ground biomass),3,3,0,105,1,5
alb,55,502,veg_c (below ground biomass),1,1,0,45,0,2
swe,12,1305,clay content (0-30 cms),7,7,0,14,6,9
alb,55,503,veg_c (above ground biomass),3,3,0,105,1,5
alb,55,503,veg_c (below ground biomass),1,1,0,45,0,2
swe,12,1306,clay content (0-30 cms),8,7,0,14,6,9
alb,55,504,veg_c (above ground biomass),4,3,0,106,1,5
alb,55,504,veg_c (below ground biomass),2,1,0,44,0,2
swe,12,1307,clay content (0-30 cms),8,7,0,14,6,9
alb,55,505,veg_c (above ground biomass),2,3,0,102,1,5
alb,55,505,veg_c (below ground biomass),1,1,0,48,0,2
swe,12,1501,clay content (0-30 cms),7,7,4,14,6,9
alb,55,506,veg_c (above ground biomass),4,3,1,108,1,5
alb,55,506,veg_c (below ground biomass),2,1,0,42,0,2
swe,12,1502,clay content (0-30 cms),8,7,4,14,6,9
alb,55,507,veg_c (above ground biomass),3,3,0,106,1,5
alb,55,507,veg_c (below ground biomass),1,1,0,44,0,2
swe,12,1503,clay content (0-30 cms),11,7,4,14,6,9
alb,55,701,veg_c (above ground biomass),1,0,0,29,0,1
alb,55,701,veg_c (below ground biomass),1,0,0,23,0,1
swe,12,1506,clay content (0-30 cms),11,7,4,14,6,9
alb,55,702,veg_c (above ground biomass),1,1,0,29,0,1
alb,55,702,veg_c (below ground biomass),1,0,0,23,0,1
swe,12,1507,clay content (0-30 cms),8,7,4,14,6,9
alb,55,705,veg_c (above ground biomass),1,0,0,28,0,1
alb,55,705,veg_c (below ground biomass),1,0,0,24,0,1
can,19,1501,clay content (0-30 cms),9,8,3,16,5,9
can,19,1506,clay content (0-30 cms),8,8,3,16,5,9
can,19,1507,clay content (0-30 cms),8,8,3,16,5,9
chn,127,1201,clay content (0-30 cms),9,9,8,11,8,9
chn,127,1202,clay content (0-30 cms),9,9,8,11,8,9
alb,55,901,veg_c (above ground biomass),1,1,0,22,1,1
alb,55,901,veg_c (below ground biomass),1,1,0,21,1,1
yem,94,1201,clay content (0-30 cms),4,3,0,35,0,10
alb,55,902,veg_c (below ground biomass),1,1,0,27,1,2
yem,94,1202,clay content (0-30 cms),2,3,0,35,0,10
alb,55,903,veg_c (below ground biomass),1,1,1,30,1,2
sau,94,1201,clay content (0-30 cms),4,5,0,41,2,10
sau,94,1202,clay content (0-30 cms),6,5,0,41,2,10
alb,55,905,veg_c (above ground biomass),1,1,0,25,1,1
alb,55,905,veg_c (below ground biomass),1,1,0,17,1,1
sau,94,1203,clay content (0-30 cms),6,5,0,41,2,10
alb,55,906,veg_c (above ground biomass),1,1,1,27,1,2
alb,55,906,veg_c (below ground biomass),1,0,0,16,1,1
sau,94,1205,clay content (0-30 cms),4,5,0,41,2,10
alb,55,907,veg_c (above ground biomass),1,1,0,24,1,1
alb,55,907,veg_c (below ground biomass),1,1,0,19,1,1
sau,94,1206,clay content (0-30 cms),5,5,0,41,2,10
alb,55,1001,veg_c (above ground biomass),1,1,0,96,0,2
alb,55,1001,veg_c (below ground biomass),1,0,0,58,0,1
sau,94,1207,clay content (0-30 cms),5,5,0,41,2,10
alb,55,1002,veg_c (above ground biomass),1,1,0,90,0,2
alb,55,1002,veg_c (below ground biomass),1,0,0,63,0,1
egy,144,1401,clay content (0-30 cms),7,6,0,44,3,10
alb,55,1003,veg_c (above ground biomass),1,1,0,94,0,2
alb,55,1003,veg_c (below ground biomass),1,0,0,60,0,1
egy,144,1402,clay content (0-30 cms),10,6,0,44,3,10
alb,55,1004,veg_c (above ground biomass),1,0,0,69,0,1
alb,55,1004,veg_c (below ground biomass),1,0,0,84,0,2
egy,144,1405,clay content (0-30 cms),10,6,0,44,3,10
alb,55,1005,veg_c (above ground biomass),2,1,0,100,0,2
alb,55,1005,veg_c (below ground biomass),1,0,0,54,0,1
egy,144,1407,clay content (0-30 cms),10,6,0,44,3,10
alb,55,1006,veg_c (above ground biomass),2,1,0,100,0,2
alb,55,1006,veg_c (below ground biomass),1,0,0,53,0,1
aut,57,1501,clay content (0-30 cms),9,7,7,15,7,10
alb,55,1007,veg_c (above ground biomass),2,1,0,104,0,2
alb,55,1007,veg_c (below ground biomass),1,0,0,49,0,1
aut,57,1502,clay content (0-30 cms),9,7,7,15,7,10
alb,55,1101,veg_c (above ground biomass),1,1,0,52,0,3
alb,55,1101,veg_c (below ground biomass),2,1,0,60,0,3
aut,57,1505,clay content (0-30 cms),9,7,7,15,7,10
alb,55,1102,veg_c (above ground biomass),2,1,0,53,0,3
alb,55,1102,veg_c (below ground biomass),2,1,0,59,0,3
aut,57,1507,clay content (0-30 cms),9,7,7,15,7,10
alb,55,1103,veg_c (above ground biomass),1,1,0,47,0,3
alb,55,1103,veg_c (below ground biomass),2,2,0,65,1,4
isl,11,1501,clay content (0-30 cms),7,7,0,20,3,10
alb,55,1104,veg_c (above ground biomass),1,1,0,40,0,2
alb,55,1104,veg_c (below ground biomass),2,2,0,71,1,4
isl,11,1502,clay content (0-30 cms),9,7,0,20,3,10
alb,55,1105,veg_c (above ground biomass),1,1,0,51,0,3
alb,55,1105,veg_c (below ground biomass),2,1,0,60,0,3
isl,11,1503,clay content (0-30 cms),8,7,0,20,3,10
alb,55,1106,veg_c (above ground biomass),2,1,0,49,0,3
alb,55,1106,veg_c (below ground biomass),2,2,0,63,1,4
isl,11,1505,clay content (0-30 cms),9,7,0,20,3,10
alb,55,1107,veg_c (above ground biomass),1,1,0,53,0,3
alb,55,1107,veg_c (below ground biomass),2,1,0,58,0,3
isl,11,1506,clay content (0-30 cms),2,7,0,20,3,10
and,73,401,veg_c (above ground biomass),7,8,0,136,3,10
and,73,401,veg_c (below ground biomass),2,2,0,43,1,3
isl,11,1507,clay content (0-30 cms),8,7,0,20,3,10
and,73,402,veg_c (above ground biomass),6,8,0,135,3,10
and,73,402,veg_c (below ground biomass),2,2,0,43,1,3
nor,8,701,clay content (0-30 cms),8,7,3,17,5,10
and,73,405,veg_c (above ground biomass),6,8,0,135,3,10
and,73,405,veg_c (below ground biomass),2,2,0,43,1,3
nor,8,702,clay content (0-30 cms),7,7,3,17,5,10
and,73,407,veg_c (above ground biomass),6,8,0,136,3,10
and,73,407,veg_c (below ground biomass),2,2,0,43,1,3
nor,8,703,clay content (0-30 cms),8,7,3,17,5,10
and,73,1001,veg_c (above ground biomass),1,0,0,27,1,2
and,73,1001,veg_c (below ground biomass),1,0,0,30,1,2
nor,8,705,clay content (0-30 cms),7,7,3,17,5,10
and,73,1002,veg_c (above ground biomass),1,0,0,28,1,2
and,73,1002,veg_c (below ground biomass),1,0,0,29,1,2
nor,8,706,clay content (0-30 cms),8,7,3,17,5,10
and,73,1005,veg_c (above ground biomass),1,0,0,26,1,2
and,73,1005,veg_c (below ground biomass),1,0,0,30,1,2
nor,8,707,clay content (0-30 cms),7,7,3,17,5,10
and,73,1007,veg_c (above ground biomass),1,0,0,27,1,2
and,73,1007,veg_c (below ground biomass),1,0,0,29,1,2
nor,8,1301,clay content (0-30 cms),8,7,0,20,5,10
nor,8,1302,clay content (0-30 cms),7,7,0,20,5,10
nor,8,1303,clay content (0-30 cms),8,7,0,20,5,10
nor,8,1304,clay content (0-30 cms),8,7,0,20,5,10
nor,8,1305,clay content (0-30 cms),8,7,0,20,5,10
nor,8,1306,clay content (0-30 cms),8,7,0,20,5,10
nor,8,1307,clay content (0-30 cms),8,7,0,20,5,10
nor,8,1501,clay content (0-30 cms),8,7,0,20,4,10
nor,8,1502,clay content (0-30 cms),8,7,0,20,4,10
nor,8,1503,clay content (0-30 cms),7,7,0,20,4,10
nor,8,1505,clay content (0-30 cms),8,7,0,20,4,10
nor,8,1506,clay content (0-30 cms),7,7,0,20,4,10
nor,8,1507,clay content (0-30 cms),7,7,0,20,4,10
