iso,glu_code,land_type,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
grl,1,1501,clay content (0-30 cms),1,0,0,44,0,0
grl,1,1502,clay content (0-30 cms),9,0,0,44,0,0
grl,1,1503,clay content (0-30 cms),6,0,0,44,0,0
grl,1,1505,clay content (0-30 cms),10,0,0,44,0,0
grl,1,1506,clay content (0-30 cms),2,0,0,44,0,0
grl,1,1507,clay content (0-30 cms),2,0,0,44,0,0
tkm,52,1,clay content (0-30 cms),3,0,0,30,0,0
afg,52,1101,veg_c (below ground biomass),1,0,0,1,0,1
tkm,52,2,clay content (0-30 cms),4,0,0,30,0,0
tkm,52,6,clay content (0-30 cms),17,0,0,30,0,0
tkm,52,7,clay content (0-30 cms),1,0,0,30,0,0
yem,94,1401,clay content (0-30 cms),1,0,0,27,0,3
yem,94,1402,clay content (0-30 cms),1,0,0,27,0,3
lby,151,1401,clay content (0-30 cms),3,2,0,20,1,4
chl,215,1501,clay content (0-30 cms),1,0,0,15,0,5
chl,215,1503,clay content (0-30 cms),1,0,0,15,0,5
chl,215,1506,clay content (0-30 cms),3,0,0,15,0,5
sdn,151,1401,clay content (0-30 cms),4,3,0,10,2,5
sdn,151,1402,clay content (0-30 cms),8,3,0,10,2,5
ner,144,1401,clay content (0-30 cms),4,4,0,16,1,6
ner,144,1406,clay content (0-30 cms),5,4,0,16,1,6
ner,144,1407,clay content (0-30 cms),4,4,0,16,1,6
sdn,144,1401,clay content (0-30 cms),4,4,0,35,1,6
sdn,144,1402,clay content (0-30 cms),10,4,0,35,1,6
ner,151,1401,clay content (0-30 cms),5,4,0,46,2,7
ner,151,1402,clay content (0-30 cms),13,4,0,46,2,7
ner,151,1405,clay content (0-30 cms),7,4,0,46,2,7
ner,151,1406,clay content (0-30 cms),3,4,0,46,2,7
ner,151,1407,clay content (0-30 cms),6,4,0,46,2,7
usa,27,1001,clay content (0-30 cms),6,4,4,8,4,7
usa,27,1002,clay content (0-30 cms),6,4,4,8,4,7
usa,27,1003,clay content (0-30 cms),6,4,4,8,4,7
usa,27,1006,clay content (0-30 cms),6,4,4,8,4,7
bel,32,701,clay content (0-30 cms),7,6,5,8,5,7
bel,32,702,clay content (0-30 cms),7,6,5,8,5,7
bel,32,705,clay content (0-30 cms),7,6,5,8,5,7
bel,32,707,clay content (0-30 cms),7,6,5,8,5,7
lby,144,1201,clay content (0-30 cms),6,6,0,36,4,7
lby,144,1202,clay content (0-30 cms),19,6,0,36,4,7
rus,13,1201,clay content (0-30 cms),7,7,5,10,5,7
rus,13,1202,clay content (0-30 cms),7,7,5,10,5,7
dza,149,1401,clay content (0-30 cms),7,4,0,36,2,8
dza,149,1402,clay content (0-30 cms),25,4,0,36,2,8
fin,12,701,clay content (0-30 cms),6,5,4,14,4,8
fin,12,702,clay content (0-30 cms),6,5,4,14,4,8
fin,12,703,clay content (0-30 cms),6,5,4,14,4,8
fin,12,705,clay content (0-30 cms),7,5,4,14,4,8
fin,12,706,clay content (0-30 cms),7,5,4,14,4,8
fin,12,707,clay content (0-30 cms),7,5,4,14,4,8
usa,27,601,clay content (0-30 cms),6,5,2,8,3,8
usa,27,602,clay content (0-30 cms),6,5,2,8,3,8
usa,27,603,clay content (0-30 cms),5,5,2,8,3,8
usa,27,606,clay content (0-30 cms),6,5,2,8,3,8
usa,27,607,clay content (0-30 cms),5,5,2,8,3,8
fin,8,601,clay content (0-30 cms),6,6,0,17,5,8
fin,8,602,clay content (0-30 cms),6,6,0,17,5,8
fin,8,603,clay content (0-30 cms),6,6,0,17,5,8
fin,8,605,clay content (0-30 cms),6,6,0,17,5,8
fin,8,606,clay content (0-30 cms),7,6,0,17,5,8
fin,8,607,clay content (0-30 cms),7,6,0,17,5,8
fin,12,601,clay content (0-30 cms),7,6,2,20,4,8
fin,12,602,clay content (0-30 cms),6,6,2,20,4,8
fin,12,603,clay content (0-30 cms),6,6,2,20,4,8
fin,12,604,clay content (0-30 cms),4,6,2,20,4,8
fin,12,605,clay content (0-30 cms),5,6,2,20,4,8
fin,12,606,clay content (0-30 cms),7,6,2,20,4,8
fin,12,607,clay content (0-30 cms),7,6,2,20,4,8
swe,12,701,clay content (0-30 cms),7,6,3,16,4,8
swe,12,702,clay content (0-30 cms),6,6,3,16,4,8
swe,12,703,clay content (0-30 cms),7,6,3,16,4,8
swe,12,704,clay content (0-30 cms),5,6,3,16,4,8
swe,12,705,clay content (0-30 cms),6,6,3,16,4,8
swe,12,706,clay content (0-30 cms),7,6,3,16,4,8
swe,12,707,clay content (0-30 cms),7,6,3,16,4,8
usa,217,1301,clay content (0-30 cms),7,6,0,20,2,8
usa,217,1302,clay content (0-30 cms),7,6,0,20,2,8
usa,217,1303,clay content (0-30 cms),6,6,0,20,2,8
usa,217,1306,clay content (0-30 cms),6,6,0,20,2,8
usa,217,1307,clay content (0-30 cms),6,6,0,20,2,8
can,27,1501,clay content (0-30 cms),5,7,0,11,0,8
can,27,1502,clay content (0-30 cms),7,7,0,11,0,8
can,27,1503,clay content (0-30 cms),4,7,0,11,0,8
can,27,1506,clay content (0-30 cms),6,7,0,11,0,8
can,27,1507,clay content (0-30 cms),8,7,0,11,0,8
can,40,1101,clay content (0-30 cms),7,7,5,9,5,8
can,40,1102,clay content (0-30 cms),7,7,5,9,5,8
can,40,1105,clay content (0-30 cms),7,7,5,9,5,8
can,40,1107,clay content (0-30 cms),7,7,5,9,5,8
fin,13,1201,clay content (0-30 cms),7,7,4,12,4,8
fin,13,1202,clay content (0-30 cms),6,7,4,12,4,8
fin,13,1203,clay content (0-30 cms),6,7,4,12,4,8
fin,13,1206,clay content (0-30 cms),8,7,4,12,4,8
ago,162,101,veg_c (above ground biomass),6,11,0,149,7,12
ago,162,101,veg_c (below ground biomass),2,3,0,41,2,3
fin,13,1207,clay content (0-30 cms),8,7,4,12,4,8
ago,162,102,veg_c (above ground biomass),10,11,0,152,8,12
ago,162,102,veg_c (below ground biomass),3,3,0,39,2,3
mrt,86,901,clay content (0-30 cms),6,7,6,9,7,8
ago,162,201,veg_c (above ground biomass),2,3,0,76,1,4
ago,162,201,veg_c (below ground biomass),1,2,0,42,0,2
mrt,86,902,clay content (0-30 cms),6,7,6,9,7,8
ago,162,202,veg_c (above ground biomass),3,4,0,79,1,4
ago,162,202,veg_c (below ground biomass),1,2,0,38,0,2
nor,12,1501,clay content (0-30 cms),7,7,5,10,5,8
ago,162,901,veg_c (above ground biomass),3,4,0,98,2,5
ago,162,901,veg_c (below ground biomass),1,1,0,25,0,1
nor,12,1502,clay content (0-30 cms),8,7,5,10,5,8
ago,162,902,veg_c (above ground biomass),5,4,0,98,2,5
ago,162,902,veg_c (below ground biomass),1,1,0,24,0,1
nor,12,1503,clay content (0-30 cms),8,7,5,10,5,8
nor,12,1506,clay content (0-30 cms),8,7,5,10,5,8
nor,12,1507,clay content (0-30 cms),8,7,5,10,5,8
can,7,1501,clay content (0-30 cms),4,0,0,17,0,9
can,7,1502,clay content (0-30 cms),5,0,0,17,0,9
can,7,1503,clay content (0-30 cms),8,0,0,17,0,9
can,7,1505,clay content (0-30 cms),8,0,0,17,0,9
can,7,1506,clay content (0-30 cms),3,0,0,17,0,9
can,7,1507,clay content (0-30 cms),3,0,0,17,0,9
ago,182,103,veg_c (above ground biomass),3,4,1,129,1,8
ago,182,103,veg_c (below ground biomass),1,1,0,48,0,3
deu,28,401,clay content (0-30 cms),9,5,2,35,3,9
ago,182,104,veg_c (above ground biomass),3,4,1,128,1,8
ago,182,104,veg_c (below ground biomass),1,1,0,48,0,3
deu,28,402,clay content (0-30 cms),7,5,2,35,3,9
deu,28,405,clay content (0-30 cms),7,5,2,35,3,9
ago,182,106,veg_c (below ground biomass),1,4,1,115,1,7
deu,28,407,clay content (0-30 cms),13,5,2,35,3,9
ago,182,107,veg_c (above ground biomass),1,4,1,119,1,7
ago,182,107,veg_c (below ground biomass),1,2,0,57,0,4
mli,144,1401,clay content (0-30 cms),7,5,0,37,3,9
mli,144,1402,clay content (0-30 cms),9,5,0,37,3,9
mli,144,1407,clay content (0-30 cms),11,5,0,37,3,9
pol,35,501,clay content (0-30 cms),7,5,3,12,3,9
pol,35,502,clay content (0-30 cms),6,5,3,12,3,9
pol,35,505,clay content (0-30 cms),6,5,3,12,3,9
pol,35,507,clay content (0-30 cms),6,5,3,12,3,9
dza,151,1401,clay content (0-30 cms),7,6,0,38,4,9
dza,151,1402,clay content (0-30 cms),4,6,0,38,4,9
dza,151,1403,clay content (0-30 cms),14,6,0,38,4,9
dza,151,1406,clay content (0-30 cms),11,6,0,38,4,9
dza,151,1407,clay content (0-30 cms),8,6,0,38,4,9
lby,144,1401,clay content (0-30 cms),7,6,0,42,2,9
lby,144,1402,clay content (0-30 cms),10,6,0,42,2,9
lby,144,1403,clay content (0-30 cms),9,6,0,42,2,9
lby,144,1406,clay content (0-30 cms),11,6,0,42,2,9
lby,144,1407,clay content (0-30 cms),9,6,0,42,2,9
nor,8,801,clay content (0-30 cms),7,6,0,19,4,9
ago,182,1005,veg_c (above ground biomass),2,1,1,91,1,4
ago,182,1005,veg_c (below ground biomass),1,0,0,30,0,1
nor,8,802,clay content (0-30 cms),7,6,0,19,4,9
ago,182,1006,veg_c (above ground biomass),3,1,1,86,1,4
ago,182,1006,veg_c (below ground biomass),1,0,0,35,0,2
nor,8,803,clay content (0-30 cms),9,6,0,19,4,9
ago,182,1007,veg_c (above ground biomass),4,1,0,51,1,2
ago,182,1007,veg_c (below ground biomass),5,1,1,70,1,3
nor,8,805,clay content (0-30 cms),6,6,0,19,4,9
nor,8,806,clay content (0-30 cms),8,6,0,19,4,9
ago,182,1202,veg_c (above ground biomass),2,2,0,36,0,4
ago,182,1202,veg_c (below ground biomass),3,3,0,53,1,6
nor,8,807,clay content (0-30 cms),7,6,0,19,4,9
